no,card_name,URL
0,The Fool,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476296/0_The_Fool_ddtsof.png
1,The Magician,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476296/1_The_Magician_a82rmz.png
2,The High Priestess,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476296/2_The_Empress_ehvoac.png
3,The Empress,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476296/3_The_Empress_fvyqvg.png
4,The Emperor,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476296/4_The_Emperor_ymgc9b.png
5,The Hierophant,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476297/5_The_Hierophant_pvehid.png
6,The Lovers,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476297/6_The_Lovers_hcekpx.png
7,The Chariot,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476297/7_The_Chariot_ieudqc.png
8,Strength,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476298/8_Strength_e00dbe.png
9,The Hermit,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476298/9_The_Hermit_rolln7.png
10,Wheel of Fortune,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476298/10_Wheel_of_Fortune_fwr6id.png
11,Justice,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476298/11_Justice_oul52r.png
12,The Hanged Man,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476298/12_The_Hanged_Man_obdnym.png
13,Death,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476299/13_Death_hfwity.png
14,Temperance,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476299/14_Temperance_m7jz9m.png
15,The Devil,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476299/15_The_Devil_y8pqy5.png
16,The Tower,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476299/16_The_Tower_fjrvch.png
17,The Star,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476299/17_The_Star_liofrx.png
18,The Moon,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476299/18_The_Moon_wwu1hc.png
19,The Sun,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476300/19_The_Sun_vpisw2.png
20,Judgement,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476300/20_Judgement_dyzzv1.png
21,The World,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476300/21_The_World_ixawwn.png
22,Ace of Wands,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476301/22_Ace_of_Wands_vaoaps.png
23,Two of Wands,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476301/23_Two_of_Wands_pyehl1.png
24,Three of Wands,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476301/24_Three_of_Wands_qygkeb.png
25,Four of Wands,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476302/25_Four_of_Wands_laqrah.png
26,Five of Wands,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476302/26_Five_of_Wands_ggunmk.png
27,Six of Wands,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476302/27_Six_of_Wands_rrwwnp.png
28,Seven of Wands,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476303/28_Seven_of_Wands_omtetf.png
29,Eight of Wands,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476303/29_Eight_of_Wands_m7x0i6.png
30,Nine of Wands,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476303/30_Nine_of_Wands_aojkpr.png
31,Ten of Wands,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476304/31_Ten_of_Wands_aq0azu.png
32,Page of Wands,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476304/32_Page_of_Wands_zozh8e.png
33,Knight of Wands,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476304/33_Knight_of_Wands_mh41nx.png
34,Queen of Wands,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476305/34_Queen_of_Wands_mx2oqw.png
35,King of Wands,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476305/35_King_of_Wands_ocm4os.png
36,Ace of Cups,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476306/36_Ace_of_Cups_vbvzqu.png
37,Two of Cups,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476306/37_Two_of_Cups_lmyo3g.png
38,Three of Cups,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476306/38_Three_of_Cups_i7rlbl.png
39,Four of Cups,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476307/39_Four_of_Cups_iyzht0.png
40,Five of Cups,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476307/40_Five_of_Cups_fezato.png
41,Six of Cups,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476307/41_Six_of_Cups_oqlq3x.png
42,Seven of Cups,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476308/42_Seven_of_Cups_jwl1ih.png
43,Eight of Cups,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476309/43_Eight_of_Cups_qwdmhv.png
44,Nine of Cups,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476308/44_Nine_of_Cups_wgfbpi.png
45,Ten of Cups,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476309/45_Ten_of_Cups_iw8qme.png
46,Page of Cups,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476309/46_Page_of_Cups_ttq7zt.png
47,Knight of Cups,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476310/47_Knight_of_Cups_gboclo.png
48,Queen of Cups,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476309/48_Queen_of_Cups_tljicg.png
49,King of Cups,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476310/49_King_of_Cups_idlimu.png
50,Ace of Swords,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476310/50_Ace_of_Swords_bdqsrx.png
51,Two of Swords,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476311/51_Two_of_Swords_wdfwcs.png
52,Three of Swords,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476311/52_Three_of_Swords_nvcgfc.png
53,Four of Swords,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476311/53_Four_of_Swords_ivroe6.png
54,Five of Swords,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476312/54_Five_of_Swords_koz9bt.png
55,Six of Swords,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476312/55_Six_of_Swords_mdum3b.png
56,Seven of Swords,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476313/56_Seven_of_Swords_vv8coa.png
57,Eight of Swords,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476313/57_Eight_of_Swords_cra0dp.png
58,Nine of Swords,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476313/58_Nine_of_Swords_wdlil7.png
59,Ten of Swords,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476314/59_Ten_of_Swords_nyulxr.png
60,Page of Swords,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476314/60_Page_of_Swords_wysolw.png
61,Knight of Swords,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476314/61_Knight_of_Swords_efn0te.png
62,Queen of Swords,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476315/62_Queen_of_Swords_rrnnj3.png
63,King of Swords,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476315/63_King_of_Swords_env2fk.png
64,Ace of Pentacles,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476315/64_Ace_of_Pentacles_yes80s.png
65,Two of Pentacles,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476316/65_Two_of_Pentacles_puwghn.png
66,Three of Pentacles,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476316/66_Three_of_Pentacles_ys1gsv.png
67,Four of Pentacles,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476316/67_Four_of_Pentacles_lhohyp.png
68,Five of Pentacles,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476317/68_Five_of_Pentacles_wh5nmk.png
69,Six of Pentacles,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476317/69_Six_of_Pentacles_rjdiwl.png
70,Seven of Pentacles,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476317/70_Seven_of_Pentacles_wqegm0.png
71,Eight of Pentacles,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476318/71_Eight_of_Pentacles_badshe.png
72,Nine of Pentacles,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476318/72_Nine_of_Pentacles_obm1w7.png
73,Ten of Pentacles,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476319/73_Ten_of_Pentacles_wi6vzp.png
74,Page of Pentacles,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476319/74_Page_of_Pentacles_qyfqiu.png
75,Knight of Pentacles,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476319/75_Knight_of_Pentacles_jvbmuf.png
76,Queen of Pentacles,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476319/76_Queen_of_Pentacles_wlsy73.png
77,King of Pentacles,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476320/77_King_of_Pentacles_gqho9y.png